"GEO_ID","id"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS code"
"NAICS2017_F","2017 NAICS Footnote"
"LFO","Legal form of organization code"
"LFO_LABEL","Meaning of Legal form of organization code"
"EMPSZES","Employment size of establishments"
"EMPSZES_LABEL","Meaning of Employment size of establishments"
"YEAR","Year"
"ESTAB","Number of establishments"
"PAYANN","Annual payroll ($1,000)"
"PAYANN_N","Noise range for annual payroll "
"PAYQTR1","First-quarter payroll ($1,000)"
"PAYQTR1_N","Noise range for first-quarter payroll (%)"
"EMP","Number of employees"
"EMP_N","Noise range for number of paid employees for pay period including March 12 "
